tournament,tournament_id,dated
ABN AMRO World Tennis Tournament,1,11/02/2011
ABN AMRO World Tennis Tournament,1,11/02/2011
ABN AMRO World Tennis Tournament,1,11/02/2011
ABN AMRO World Tennis Tournament,1,12/02/2011
ABN AMRO World Tennis Tournament,1,12/02/2011
ABN AMRO World Tennis Tournament,1,13/02/2011
ABN AMRO World Tennis Tournament,1,08/02/2010
ABN AMRO World Tennis Tournament,1,08/02/2010
ABN AMRO World Tennis Tournament,1,08/02/2010
ABN AMRO World Tennis Tournament,1,08/02/2010
ABN AMRO World Tennis Tournament,1,08/02/2010
ABN AMRO World Tennis Tournament,1,09/02/2010
ABN AMRO World Tennis Tournament,1,09/02/2010
ABN AMRO World Tennis Tournament,1,09/02/2010
ABN AMRO World Tennis Tournament,1,09/02/2010
ABN AMRO World Tennis Tournament,1,09/02/2010
ABN AMRO World Tennis Tournament,1,09/02/2010
ABN AMRO World Tennis Tournament,1,10/02/2010
ABN AMRO World Tennis Tournament,1,10/02/2010
ABN AMRO World Tennis Tournament,1,10/02/2010
ABN AMRO World Tennis Tournament,1,10/02/2010
ABN AMRO World Tennis Tournament,1,10/02/2010
ABN AMRO World Tennis Tournament,1,10/02/2010
ABN AMRO World Tennis Tournament,1,10/02/2010
ABN AMRO World Tennis Tournament,1,11/02/2010
ABN AMRO World Tennis Tournament,1,11/02/2010
ABN AMRO World Tennis Tournament,1,11/02/2010
ABN AMRO World Tennis Tournament,1,11/02/2010
ABN AMRO World Tennis Tournament,1,11/02/2010
ABN AMRO World Tennis Tournament,1,11/02/2010
ABN AMRO World Tennis Tournament,1,12/02/2010
ABN AMRO World Tennis Tournament,1,12/02/2010
ABN AMRO World Tennis Tournament,1,12/02/2010
ABN AMRO World Tennis Tournament,1,12/02/2010
ABN AMRO World Tennis Tournament,1,13/02/2010
ABN AMRO World Tennis Tournament,1,13/02/2010
ABN AMRO World Tennis Tournament,1,14/02/2010
ABN AMRO World Tennis Tournament,1,09/02/2009
ABN AMRO World Tennis Tournament,1,09/02/2009
ABN AMRO World Tennis Tournament,1,09/02/2009
ABN AMRO World Tennis Tournament,1,09/02/2009
ABN AMRO World Tennis Tournament,1,09/02/2009
ABN AMRO World Tennis Tournament,1,10/02/2009
ABN AMRO World Tennis Tournament,1,10/02/2009
ABN AMRO World Tennis Tournament,1,10/02/2009
ABN AMRO World Tennis Tournament,1,10/02/2009
ABN AMRO World Tennis Tournament,1,10/02/2009
ABN AMRO World Tennis Tournament,1,11/02/2009
ABN AMRO World Tennis Tournament,1,11/02/2009
ABN AMRO World Tennis Tournament,1,11/02/2009
ABN AMRO World Tennis Tournament,1,11/02/2009
