atp,events_id,series,location,dated,tournament,location_id
58,58,ATP500,Tokyo,07/10/2015,Rakuten Japan Open Tennis Championships,95
58,58,ATP500,Tokyo,07/10/2015,Rakuten Japan Open Tennis Championships,95
58,58,ATP500,Tokyo,07/10/2015,Rakuten Japan Open Tennis Championships,95
58,58,ATP500,Tokyo,07/10/2015,Rakuten Japan Open Tennis Championships,95
58,58,ATP500,Tokyo,08/10/2015,Rakuten Japan Open Tennis Championships,95
58,58,ATP500,Tokyo,08/10/2015,Rakuten Japan Open Tennis Championships,95
58,58,ATP500,Tokyo,08/10/2015,Rakuten Japan Open Tennis Championships,95
58,58,ATP500,Tokyo,08/10/2015,Rakuten Japan Open Tennis Championships,95
58,58,ATP500,Tokyo,09/10/2015,Rakuten Japan Open Tennis Championships,95
58,58,ATP500,Tokyo,09/10/2015,Rakuten Japan Open Tennis Championships,95
58,58,ATP500,Tokyo,09/10/2015,Rakuten Japan Open Tennis Championships,95
58,58,ATP500,Tokyo,09/10/2015,Rakuten Japan Open Tennis Championships,95
58,58,ATP500,Tokyo,10/10/2015,Rakuten Japan Open Tennis Championships,95
58,58,ATP500,Tokyo,10/10/2015,Rakuten Japan Open Tennis Championships,95
58,58,ATP500,Tokyo,11/10/2015,Rakuten Japan Open Tennis Championships,95
58,58,ATP250,Moscow,13/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,13/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,13/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,13/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,14/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,14/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,14/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,14/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,14/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,14/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,15/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,15/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,15/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,15/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,15/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,16/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,16/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,16/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,16/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,16/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,17/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,17/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,17/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,17/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,18/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,18/10/2014,Kremlin Cup,64
58,58,ATP250,Moscow,19/10/2014,Kremlin Cup,64
58,58,Masters 1000,Shanghai,06/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,06/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,06/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,06/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,07/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,07/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,07/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,07/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2013,Shanghai Masters,87
58,58,Masters 1000,Shanghai,08/10/2013,Shanghai Masters,87
