winner,w_rank,w_pts,loser,l_rank,l_pts,winner_id,loser_id
Hanescu V.,44.0,1531.0,Hernych J.,78.0,1068.0,242,378
Murray A.,4.0,7190.0,Pavel A.,1141.0,10.0,425,691
Melzer J.,32.0,1868.0,Nishikori K.,59.0,1325.0,396,660
Almagro N.,18.0,2540.0,Massu N.,84.0,1010.0,6,566
Fognini F.,88.0,986.0,Golubev A.,93.0,966.0,187,321
Granollers M.,51.0,1444.0,Gabashvili T.,64.0,1226.0,224,288
Ancic M.,36.0,1805.0,Odesnik W.,115.0,862.0,11,669
Istomin D.,105.0,910.0,Spadea V.,82.0,1038.0,266,855
Karlovic I.,26.0,2295.0,Gimeno-Traver D.,91.0,976.0,287,312
Beck A.,103.0,926.0,Ebelthite C.,254.0,300.0,40,243
Sela D.,106.0,908.0,Schuettler R.,31.0,1924.0,537,803
Simon G.,8.0,3960.0,Andujar P.,98.0,942.0,548,29
Guccione C.,132.0,706.0,Devilder N.,72.0,1142.0,232,213
Gonzalez F.,14.0,2840.0,Hewitt L.,70.0,1145.0,220,379
Gulbis E.,52.0,1438.0,Montanes A.,42.0,1574.0,234,613
Andreev I.,19.0,2490.0,Polansky P.,210.0,380.0,14,707
Monfils G.,13.0,3010.0,Vassallo-Arguello M.,71.0,1144.0,411,930
Koubek S.,183.0,457.0,Youzhny M.,40.0,1670.0,314,982
De Chaunac S.,253.0,300.0,Darcis S.,57.0,1340.0,122,183
Ljubicic I.,55.0,1376.0,Kunitsyn I.,43.0,1562.0,355,488
Canas G.,77.0,1086.0,Kindlmann D.,229.0,337.0,80,442
Verdasco F.,15.0,2830.0,Mannarino A.,129.0,726.0,619,553
Clement A.,89.0,980.0,Stakhovsky S.,83.0,1011.0,100,857
Tsonga J.W.,7.0,3995.0,Monaco J.,49.0,1470.0,598,611
Berrer M.,134.0,684.0,Ball C.,203.0,414.0,52,54
Cipolla F.,138.0,664.0,Tursunov D.,30.0,1952.0,98,909
Haas T.,79.0,1050.0,Schwank E.,54.0,1380.0,237,805
Stepanek R.,23.0,2360.0,Lapentti N.,86.0,1004.0,573,507
Karanusic R.,92.0,974.0,Serra F.,58.0,1339.0,285,812
Blake J.,10.0,3550.0,Dancevic F.,131.0,710.0,56,180
Nadal R.,1.0,13160.0,Rochus C.,75.0,1096.0,427,753
Cilic M.,20.0,2450.0,Tipsarevic J.,46.0,1500.0,97,888
Ferrer D.,12.0,3390.0,Hrbaty D.,251.0,302.0,182,387
Safin M.,27.0,2050.0,Garcia-Lopez G.,62.0,1232.0,520,298
Delic A.,127.0,728.0,Mathieu P.H.,29.0,2000.0,135,568
Djokovic N.,3.0,10650.0,Chardy J.,68.0,1163.0,147,151
Robredo T.,22.0,2390.0,Troicki V.,53.0,1395.0,499,899
Berdych T.,21.0,2400.0,Dabul B.,100.0,940.0,49,179
Wawrinka S.,16.0,2670.0,Klein B.,249.0,304.0,632,452
Federer R.,2.0,10700.0,Korolev E.,118.0,808.0,180,468
Lu Y.H.,61.0,1244.0,Nalbandian D.,11.0,3500.0,363,641
Fish M.,24.0,2330.0,Bolelli S.,39.0,1686.0,186,102
Baghdatis M.,97.0,950.0,Soderling R.,17.0,2650.0,25,847
Santoro F.,60.0,1268.0,Kohlschreiber P.,34.0,1855.0,526,460
Del Potro J.M.,6.0,4060.0,Mayer F.,450.0,127.0,132,571
Roddick A.,9.0,3940.0,Malisse X.,195.0,428.0,503,551
Muller G.,87.0,988.0,Tomic B.,768.0,42.0,421,891
Gonzalez F.,14.0,2840.0,Canas G.,77.0,1086.0,220,133
Melzer J.,32.0,1868.0,Beck A.,103.0,926.0,396,69
Simon G.,8.0,3960.0,Guccione C.,132.0,706.0,548,348
Sela D.,106.0,908.0,Hanescu V.,44.0,1531.0,537,363
Gasquet R.,25.0,2330.0,Istomin D.,105.0,910.0,200,400
Almagro N.,18.0,2540.0,Fognini F.,88.0,986.0,6,282
Haas T.,79.0,1050.0,Cipolla F.,138.0,664.0,237,160
Ancic M.,36.0,1805.0,Karlovic I.,26.0,2295.0,11,430
Stepanek R.,23.0,2360.0,Berrer M.,134.0,684.0,573,86
Nadal R.,1.0,13160.0,Karanusic R.,92.0,974.0,427,428
Verdasco F.,15.0,2830.0,Clement A.,89.0,980.0,619,162
Monfils G.,13.0,3010.0,Koubek S.,183.0,457.0,411,471
Tsonga J.W.,7.0,3995.0,Ljubicic I.,55.0,1376.0,598,528
Andreev I.,19.0,2490.0,Gulbis E.,52.0,1438.0,14,350
Blake J.,10.0,3550.0,De Chaunac S.,253.0,300.0,56,189
Murray A.,4.0,7190.0,Granollers M.,51.0,1444.0,425,335
Del Potro J.M.,6.0,4060.0,Muller G.,87.0,988.0,132,627
Cilic M.,20.0,2450.0,Ferrer D.,12.0,3390.0,97,274
Djokovic N.,3.0,10650.0,Delic A.,127.0,728.0,147,206
Robredo T.,22.0,2390.0,Lu Y.H.,61.0,1244.0,499,540
Roddick A.,9.0,3940.0,Santoro F.,60.0,1268.0,503,792
Berdych T.,21.0,2400.0,Wawrinka S.,16.0,2670.0,49,962
Federer R.,2.0,10700.0,Safin M.,27.0,2050.0,180,779
Baghdatis M.,97.0,950.0,Fish M.,24.0,2330.0,25,279
Monfils G.,13.0,3010.0,Almagro N.,18.0,2540.0,411,15
Simon G.,8.0,3960.0,Ancic M.,36.0,1805.0,548,21
Verdasco F.,15.0,2830.0,Stepanek R.,23.0,2360.0,619,863
Tsonga J.W.,7.0,3995.0,Sela D.,106.0,908.0,598,808
Blake J.,10.0,3550.0,Andreev I.,19.0,2490.0,56,26
Gonzalez F.,14.0,2840.0,Gasquet R.,25.0,2330.0,220,301
Murray A.,4.0,7190.0,Melzer J.,32.0,1868.0,425,587
Nadal R.,1.0,13160.0,Haas T.,79.0,1050.0,427,353
Del Potro J.M.,6.0,4060.0,Cilic M.,20.0,2450.0,132,158
Federer R.,2.0,10700.0,Berdych T.,21.0,2400.0,180,83
Roddick A.,9.0,3940.0,Robredo T.,22.0,2390.0,503,751
Djokovic N.,3.0,10650.0,Baghdatis M.,97.0,950.0,147,47
Simon G.,8.0,3960.0,Monfils G.,13.0,3010.0,548,612
Verdasco F.,15.0,2830.0,Murray A.,4.0,7190.0,619,633
Nadal R.,1.0,13160.0,Gonzalez F.,14.0,2840.0,427,329
Tsonga J.W.,7.0,3995.0,Blake J.,10.0,3550.0,598,94
Roddick A.,9.0,3940.0,Djokovic N.,3.0,10650.0,503,221
Federer R.,2.0,10700.0,Del Potro J.M.,6.0,4060.0,180,203
Verdasco F.,15.0,2830.0,Tsonga J.W.,7.0,3995.0,619,907
Nadal R.,1.0,13160.0,Simon G.,8.0,3960.0,427,827
Federer R.,2.0,10700.0,Roddick A.,9.0,3940.0,180,755
Nadal R.,1.0,13160.0,Verdasco F.,15.0,2830.0,427,940
Nadal R.,1.0,13160.0,Federer R.,2.0,10700.0,427,271
Greul S.,118.0,788.0,Crivoi V.,127.0,726.0,228,175
Mayer L.,112.0,813.0,Roitman S.,105.0,880.0,387,760
De Voest R.,162.0,502.0,Navarro-Pastor I.,73.0,1108.0,127,648
Klaasen R.,350.0,190.0,Ramirez-Hidalgo R.,126.0,726.0,298,730
Garcia-Lopez G.,74.0,1101.0,Phau B.,100.0,906.0,198,701
Baghdatis M.,85.0,980.0,Anderson A.,1564.0,2.0,25,22
Gil F.,99.0,908.0,Koellerer D.,120.0,782.0,207,458
Chiudinelli M.,505.0,100.0,Cipolla F.,125.0,726.0,95,160
Minar I.,93.0,930.0,Anderson K.,106.0,874.0,405,23
Ferrer D.,13.0,2980.0,Sela D.,87.0,953.0,182,808
Vliegen K.,122.0,778.0,Hutchins R.,,,624,392
Tsonga J.W.,14.0,2955.0,Alves T.,124.0,736.0,598,19
Chardy J.,61.0,1208.0,Vanek J.,117.0,796.0,93,924
Istomin D.,104.0,885.0,Ventura S.,131.0,694.0,266,938
Van der Merwe I.,286.0,255.0,Becker B.,123.0,771.0,607,71
De Chaunac S.,225.0,338.0,Granollers M.,47.0,1439.0,122,335
Baghdatis M.,85.0,980.0,Klaasen R.,350.0,190.0,25,449
Ferrer D.,13.0,2980.0,Greul S.,118.0,788.0,182,342
Garcia-Lopez G.,74.0,1101.0,Mayer L.,112.0,813.0,198,572
Chardy J.,61.0,1208.0,Chiudinelli M.,505.0,100.0,93,153
Gil F.,99.0,908.0,De Voest R.,162.0,502.0,207,196
De Chaunac S.,225.0,338.0,Van der Merwe I.,286.0,255.0,122,923
Vliegen K.,122.0,778.0,Minar I.,93.0,930.0,624,601
Tsonga J.W.,14.0,2955.0,Istomin D.,104.0,885.0,598,400
Chardy J.,61.0,1208.0,De Chaunac S.,225.0,338.0,93,189
Ferrer D.,13.0,2980.0,Baghdatis M.,85.0,980.0,182,47
Tsonga J.W.,14.0,2955.0,Vliegen K.,122.0,778.0,598,949
Gil F.,99.0,908.0,Garcia-Lopez G.,74.0,1101.0,207,298
Chardy J.,61.0,1208.0,Ferrer D.,13.0,2980.0,93,274
Tsonga J.W.,14.0,2955.0,Gil F.,99.0,908.0,598,311
Tsonga J.W.,14.0,2955.0,Chardy J.,61.0,1208.0,598,151
Gimeno-Traver D.,89.0,946.0,Martin A.,92.0,936.0,208,563
Chela J.I.,147.0,590.0,Andujar P.,95.0,924.0,94,29
Starace P.,66.0,1138.0,Daniel M.,90.0,942.0,569,181
