loser,best_of,l_one,l_two,l_three,l_four,l_five,loser_id
Seppi A.,3,3.0,6.0,3.0,,,809
Stebe C.M.,3,6.0,6.0,,,,862
Nishioka Y.,3,3.0,1.0,,,,661
Thompson J.,3,3.0,0.0,,,,886
Fritz T.,3,4.0,6.0,6.0,,,286
Pospisil V.,3,4.0,4.0,,,,712
Mannarino A.,3,3.0,4.0,,,,553
Isner J.,3,6.0,6.0,,,,399
Giron M.,3,4.0,7.0,6.0,,,315
Brooksby J.,3,6.0,6.0,,,,119
Basilashvili N.,3,3.0,2.0,,,,64
Goffin D.,3,0.0,3.0,,,,317
Tsonga J.W.,3,4.0,6.0,,,,907
Humbert U.,3,2.0,4.0,,,,389
Karatsev A.,3,6.0,6.0,6.0,,,429
Popyrin A.,3,7.0,1.0,6.0,,,710
Laaksonen H.,3,4.0,4.0,,,,498
Shapovalov D.,3,4.0,4.0,,,,816
Ymer M.,3,3.0,7.0,3.0,,,980
Davidovich Fokina A.,3,5.0,7.0,4.0,,,185
Zapata Miralles B.,3,1.0,2.0,,,,986
Krajinovic F.,3,6.0,3.0,2.0,,,475
Harris L.,3,2.0,3.0,,,,367
Gerasimov E.,3,6.0,2.0,2.0,,,305
Gaston H.,3,3.0,3.0,,,,302
Bublik A.,3,6.0,4.0,,,,125
Mcdonald M.,3,6.0,6.0,4.0,,,575
Hurkacz H.,3,3.0,7.0,3.0,,,390
Khachanov K.,3,4.0,6.0,,,,436
Van De Zandschulp B.,3,6.0,4.0,4.0,,,920
Kwon S.W.,3,3.0,3.0,,,,495
Ivashka I.,3,4.0,1.0,,,,403
Murray A.,3,3.0,4.0,,,,633
Griekspoor T.,3,4.0,6.0,,,,343
Musetti L.,3,3.0,6.0,5.0,,,634
De Minaur A.,3,4.0,4.0,,,,193
Norrie C.,3,5.0,6.0,,,,663
Fucsovics M.,3,4.0,3.0,,,,287
Lehecka J.,3,6.0,4.0,2.0,,,513
Rublev A.,3,7.0,4.0,2.0,,,768
Tsitsipas S.,3,4.0,2.0,,,,906
Arnaboldi A.,3,6.0,5.0,1.0,,,37
Zuk K.,3,6.0,5.0,,,,1006
Vesely J.,3,3.0,6.0,,,,942
Caruso S.,3,3.0,3.0,,,,139
Herbert P.H.,3,6.0,5.0,0.0,,,374
Kecmanovic M.,3,6.0,4.0,0.0,,,433
Kotov P.,3,4.0,3.0,,,,470
Gerasimov E.,3,6.0,2.0,,,,305
Ilhan M.,3,4.0,3.0,,,,395
Molcan A.,3,5.0,4.0,,,,608
Kirkin E.,3,0.0,4.0,,,,448
Albot R.,3,3.0,4.0,,,,10
Jaziri M.,3,2.0,1.0,,,,409
Bachinger M.,3,6.0,3.0,1.0,,,45
Vrbensky M.,3,4.0,6.0,,,,952
Djere L.,3,1.0,2.0,,,,219
Andreev A.,3,3.0,1.0,,,,25
Celikbilek A.,3,6.0,4.0,,,,143
Ruusuvuori E.,3,6.0,3.0,,,,773
Kuhn N.,3,0.0,2.0,,,,485
Fognini F.,3,6.0,7.0,6.0,,,282
Lamasine T.,3,2.0,4.0,,,,503
Grenier H.,3,,,,,,341
Kuzmanov D.,3,2.0,3.0,,,,490
Travaglia S.,3,3.0,2.0,,,,896
Struff J.L.,3,6.0,2.0,6.0,,,868
Berrettini M.,3,6.0,4.0,,,,87
Basilashvili N.,3,2.0,4.0,,,,64
Goffin D.,3,4.0,6.0,2.0,,,317
Chardy J.,3,4.0,7.0,3.0,,,151
Bublik A.,3,2.0,,,,,125
Bellucci T.,3,3.0,5.0,,,,77
Nam J.S.,3,1.0,4.0,,,,643
Harrison R.,3,6.0,1.0,4.0,,,369
Kwon S.W.,3,4.0,4.0,,,,495
Mcdonald M.,3,3.0,4.0,,,,575
Etcheverry T.,3,4.0,2.0,,,,262
Martin A.,3,4.0,4.0,,,,563
Rubin N.,3,6.0,3.0,,,,767
King K.,3,2.0,2.0,,,,445
Aragone J.C.,3,2.0,1.0,,,,31
Andujar P.,3,3.0,7.0,4.0,,,29
Young D.,3,3.0,4.0,,,,981
Querrey S.,3,6.0,1.0,,,,720
Garin C.,3,6.0,2.0,,,,299
Paul T.,3,6.0,3.0,2.0,,,690
Monteiro T.,3,4.0,6.0,,,,616
Galan D.E.,3,2.0,2.0,,,,291
Fratangelo B.,3,4.0,6.0,1.0,,,285
Karlovic I.,3,2.0,4.0,,,,430
Mannarino A.,3,2.0,5.0,,,,553
Mager G.,3,6.0,4.0,,,,548
Quiroz R.,3,4.0,4.0,,,,723
Isner J.,3,3.0,6.0,3.0,,,399
Tiafoe F.,3,0.0,6.0,4.0,,,887
Harrison C.,3,6.0,4.0,,,,368
Norrie C.,3,3.0,5.0,,,,663
Korda S.,3,3.0,3.0,,,,467
Lu Y.,3,4.0,5.0,,,,539
Djere L.,3,3.0,4.0,,,,219
Uchiyama Y.,3,6.0,6.0,,,,911
Koepfer D.,3,7.0,4.0,1.0,,,459
Gombos N.,3,4.0,4.0,,,,322
Martin A.,3,3.0,7.0,6.0,,,563
Carballes Baena R.,3,6.0,5.0,6.0,,,135
Lopez F.,3,4.0,5.0,,,,533
Seppi A.,3,5.0,6.0,,,,809
Smith J.P.,3,3.0,7.0,4.0,,,843
Cressy M.,3,7.0,6.0,5.0,,,174
Andujar P.,3,4.0,2.0,,,,29
Nam J.S.,3,6.0,5.0,,,,643
Balazs A.,3,2.0,,,,,52
Mager G.,3,6.0,4.0,3.0,,,548
Coppejans K.,3,4.0,3.0,,,,167
Laaksonen H.,3,6.0,6.0,0.0,,,498
Martinez P.,3,4.0,5.0,,,,565
Delbonis F.,3,3.0,6.0,,,,204
Hanfmann Y.,3,6.0,4.0,,,,364
Dellien H.,3,4.0,4.0,,,,209
Safiullin R.,3,7.0,4.0,3.0,,,780
Fancutt T.,3,4.0,4.0,,,,269
Schoolkate T.,3,4.0,5.0,,,,801
Vukic A.,3,2.0,4.0,,,,953
Sandgren T.,3,4.0,7.0,1.0,,,790
Sweeny D.,3,0.0,4.0,,,,874
Torpegaard M.,3,4.0,3.0,,,,895
Kwon S.W.,3,3.0,4.0,,,,495
Querrey S.,3,7.0,3.0,4.0,,,720
Haase R.,3,5.0,3.0,,,,354
Herbert P.H.,3,4.0,6.0,3.0,,,374
Ebden M.,3,7.0,4.0,3.0,,,242
Majchrzak K.,3,4.0,6.0,4.0,,,550
Stakhovsky S.,3,6.0,4.0,,,,857
O Connell C.,3,6.0,7.0,4.0,,,666
Basilashvili N.,3,5.0,3.0,,,,64
Purcell M.,3,6.0,3.0,,,,719
Goffin D.,3,3.0,3.0,,,,317
Stebe C.M.,3,4.0,2.0,,,,862
Vilella Martinez M.,3,4.0,4.0,,,,945
Alcaraz C.,3,6.0,3.0,,,,12
Anderson K.,3,3.0,6.0,,,,23
Bedene A.,3,6.0,2.0,,,,72
Opelka R.,3,6.0,6.0,,,,678
Caruso S.,3,6.0,7.0,5.0,,,139
Bublik A.,3,1.0,5.0,,,,125
Cuevas P.,3,5.0,5.0,,,,178
Thompson J.,3,4.0,4.0,,,,886
Kecmanovic M.,3,6.0,4.0,,,,433
Van De Zandschulp B.,3,7.0,5.0,3.0,,,920
Hurkacz H.,3,6.0,3.0,5.0,,,390
Monteiro T.,3,3.0,4.0,,,,616
Khachanov K.,3,6.0,6.0,6.0,,,436
Travaglia S.,3,6.0,4.0,,,,896
Tiafoe F.,3,6.0,4.0,4.0,,,887
Harris L.,3,3.0,5.0,,,,367
Norrie C.,3,6.0,6.0,3.0,,,663
Gasquet R.,3,6.0,5.0,,,,301
Albot R.,3,6.0,4.0,,,,10
Sonego L.,3,6.0,3.0,4.0,,,850
Cecchinato M.,3,6.0,3.0,,,,142
Tu L.,3,4.0,6.0,,,,908
Mott B.,3,2.0,4.0,,,,622
Kokkinakis T.,3,6.0,4.0,3.0,,,462
Nagal S.,3,2.0,2.0,,,,639
Cilic M.,3,6.0,3.0,6.0,,,158
Polmans M.,3,4.0,4.0,,,,708
Ymer M.,3,5.0,2.0,,,,980
Mmoh M.,3,1.0,5.0,,,,605
Machac T.,3,3.0,4.0,,,,545
Londero J.I.,3,6.0,5.0,2.0,,,532
Gojo B.,3,7.0,6.0,6.0,,,318
Halys Q.,3,6.0,6.0,5.0,,,361
Ferreira Silva F.,3,4.0,4.0,,,,272
Muller A.,3,6.0,4.0,6.0,,,626
Daniel T.,3,7.0,4.0,5.0,,,182
Ymer E.,3,4.0,4.0,,,,979
Troicki V.,3,3.0,4.0,,,,899
Kubler J.,3,6.0,5.0,,,,480
Fucsovics M.,3,3.0,6.0,3.0,,,287
Mannarino A.,3,3.0,4.0,,,,553
Sousa P.,3,3.0,5.0,,,,853
Mcdonald M.,3,4.0,7.0,5.0,,,575
Paul T.,3,4.0,3.0,,,,690
Kukushkin M.,3,6.0,3.0,1.0,,,486
Humbert U.,3,6.0,4.0,,,,389
Ruud C.,3,7.0,6.0,3.0,,,772
Simon G.,3,3.0,4.0,,,,827
Ruusuvuori E.,3,5.0,4.0,,,,773
Bourchier H.,3,2.0,6.0,,,,110
Sugita Y.,3,3.0,1.0,,,,870
Coria F.,3,2.0,1.0,,,,168
Harris A.,3,3.0,3.0,,,,366
Ramos-Vinolas A.,3,4.0,4.0,,,,732
Kyrgios N.,3,3.0,4.0,,,,497
Giron M.,3,4.0,6.0,,,,315
Fritz T.,3,2.0,4.0,,,,286
Duckworth J.,3,6.0,4.0,,,,234
Berankis R.,3,4.0,2.0,,,,82
Bolt A.,3,4.0,6.0,6.0,,,103
